click_id,search_id,item_id,position,click_ts
133,7168,7063,7,2026-01-30 16:43:10.418909
134,17787,3172,30,2026-01-30 16:45:46.244940
135,18883,3836,45,2026-01-30 16:41:12.312557
136,2248,4061,18,2026-01-30 16:40:05.343139
137,15817,610,12,2026-01-30 16:41:30.452245
138,19057,4246,26,2026-01-30 16:40:21.734795
139,13875,4876,4,2026-01-30 16:42:38.734391
140,5959,6684,44,2026-01-30 16:44:13.606864
141,16721,1824,44,2026-01-30 16:44:23.620525
142,13966,2121,44,2026-01-30 16:45:52.472037
143,14930,7,48,2026-01-30 16:39:04.581580
144,19213,6690,33,2026-01-30 16:42:57.146039
145,7483,4582,33,2026-01-30 16:42:42.453998
146,9377,6161,32,2026-01-30 16:41:38.405400
147,5001,213,21,2026-01-30 16:43:02.716467
148,14753,5095,6,2026-01-30 16:46:16.729806
149,18940,4856,14,2026-01-30 16:35:09.084693
150,12220,1525,14,2026-01-30 16:39:18.188900
151,11903,7452,8,2026-01-30 16:45:17.556995
152,1611,945,15,2026-01-30 16:40:30.053867
153,1506,4349,2,2026-01-30 16:38:59.255477
154,1143,3848,38,2026-01-30 16:39:24.478657
155,17167,2027,14,2026-01-30 16:44:19.508054
156,17320,408,6,2026-01-30 16:37:41.043647
157,11741,3154,26,2026-01-30 16:39:26.064606
158,1579,6361,12,2026-01-30 16:38:33.380242
159,5788,6141,29,2026-01-30 16:39:58.355558
160,18529,5225,46,2026-01-30 16:35:05.146446
161,14320,5055,11,2026-01-30 16:41:32.159310
162,19167,6319,49,2026-01-30 16:35:02.232492
163,10187,800,2,2026-01-30 16:44:31.512787
164,18888,420,21,2026-01-30 16:44:25.776617
165,6887,7492,9,2026-01-30 16:45:04.318308
166,1938,501,11,2026-01-30 16:35:08.283147
167,1039,6490,1,2026-01-30 16:37:42.867371
168,17522,407,9,2026-01-30 16:36:13.873166
169,16039,3697,15,2026-01-30 16:46:13.311925
170,8387,6392,35,2026-01-30 16:36:27.151053
171,18285,728,22,2026-01-30 16:44:36.231528
172,1899,1854,21,2026-01-30 16:45:41.046120
173,17226,1713,27,2026-01-30 16:34:48.195777
174,18207,5860,49,2026-01-30 16:43:37.444626
175,10163,4005,4,2026-01-30 16:35:39.233191
176,12661,7170,3,2026-01-30 16:36:47.602213
177,528,3130,6,2026-01-30 16:39:47.341609
178,17662,6551,47,2026-01-30 16:39:39.764221
179,7181,2146,4,2026-01-30 16:37:10.233210
180,16071,6360,1,2026-01-30 16:35:34.062197
181,85,5491,49,2026-01-30 16:39:22.000658
182,19575,3045,3,2026-01-30 16:37:49.542304
183,10295,2390,33,2026-01-30 16:38:14.651497
184,1025,1875,4,2026-01-30 16:44:37.058327
185,3633,1401,21,2026-01-30 16:36:06.931122
186,15902,706,38,2026-01-30 16:43:46.410704
187,8142,3823,25,2026-01-30 16:39:08.107924
188,11882,836,41,2026-01-30 16:36:39.455765
189,13917,4713,37,2026-01-30 16:46:07.774430
190,5230,4451,27,2026-01-30 16:37:15.092086
191,8541,6261,40,2026-01-30 16:38:49.952193
192,19017,7152,33,2026-01-30 16:44:54.125084
193,148,5251,10,2026-01-30 16:44:46.563256
194,6099,3073,14,2026-01-30 16:41:48.595397
195,19070,6629,46,2026-01-30 16:37:19.773234
196,7931,3802,16,2026-01-30 16:41:18.460478
197,3564,2072,3,2026-01-30 16:44:33.528614
198,4462,5915,41,2026-01-30 16:42:22.164807
199,4251,2949,34,2026-01-30 16:38:04.216681
200,19351,3675,49,2026-01-30 16:39:14.095872
201,8086,1022,46,2026-01-30 16:38:26.698762
202,14477,948,28,2026-01-30 16:46:35.839460
203,2303,1597,30,2026-01-30 16:45:58.686458
204,12014,5656,5,2026-01-30 16:35:18.042816
205,18254,7264,12,2026-01-30 16:41:47.874687
206,11608,246,42,2026-01-30 16:44:55.322201
207,10884,2578,8,2026-01-30 16:41:44.612186
208,4668,4519,46,2026-01-30 16:45:49.631459
209,14188,6843,49,2026-01-30 16:35:25.159842
210,1526,7407,47,2026-01-30 16:41:55.084671
211,17471,4962,23,2026-01-30 16:39:56.922044
212,9153,6221,42,2026-01-30 16:40:05.282647
213,13801,4784,15,2026-01-30 16:37:56.735490
214,10209,5920,42,2026-01-30 16:41:45.130701
215,2510,1215,27,2026-01-30 16:44:26.323152
216,1242,4912,3,2026-01-30 16:36:12.491740
217,2135,6626,46,2026-01-30 16:40:52.308676
218,2714,73,35,2026-01-30 16:41:21.991482
219,17593,6498,32,2026-01-30 16:40:57.735773
220,9689,3365,26,2026-01-30 16:43:04.296722
221,9103,6585,20,2026-01-30 16:36:36.863073
222,1511,7927,20,2026-01-30 16:42:56.891210
223,9075,5627,21,2026-01-30 16:45:05.554872
224,7076,3368,36,2026-01-30 16:35:56.339358
225,17953,332,16,2026-01-30 16:37:54.457816
226,15910,3440,3,2026-01-30 16:42:53.884496
227,15455,325,27,2026-01-30 16:40:19.715202
228,14636,6562,22,2026-01-30 16:38:29.962844
229,10788,802,17,2026-01-30 16:45:26.604793
230,3521,3578,17,2026-01-30 16:40:56.243834
231,15146,3311,24,2026-01-30 16:39:49.160534
232,17694,4589,4,2026-01-30 16:45:26.973464
233,8911,2686,23,2026-01-30 16:40:26.987941
234,11586,6017,49,2026-01-30 16:40:54.505806
235,9803,1625,27,2026-01-30 16:38:43.806170
236,3796,6948,27,2026-01-30 16:43:45.041970
237,2434,5545,39,2026-01-30 16:36:31.082575
238,15456,5776,28,2026-01-30 16:40:42.920834
239,9948,2598,38,2026-01-30 16:41:40.590375
240,6315,6828,36,2026-01-30 16:38:54.056651
241,18807,1189,10,2026-01-30 16:44:04.132711
242,10388,1055,49,2026-01-30 16:35:28.855694
243,4354,2213,28,2026-01-30 16:43:06.616065
244,4263,483,13,2026-01-30 16:42:48.555855
245,2333,7006,49,2026-01-30 16:35:44.216329
246,15747,145,40,2026-01-30 16:44:51.224315
247,7113,2303,30,2026-01-30 16:45:31.799557
248,1486,4724,5,2026-01-30 16:41:27.941591
249,13252,1513,11,2026-01-30 16:38:07.875373
250,19497,728,4,2026-01-30 16:46:25.725163
251,13087,6826,1,2026-01-30 16:35:29.800714
252,1421,6773,1,2026-01-30 16:46:00.015347
253,1976,229,31,2026-01-30 16:41:39.782902
254,18207,7959,2,2026-01-30 16:43:13.444626
255,13157,7243,15,2026-01-30 16:40:41.113962
256,7301,6704,30,2026-01-30 16:38:45.079602
257,18174,5349,8,2026-01-30 16:35:29.338275
258,12879,6467,36,2026-01-30 16:42:00.822555
259,5845,4445,26,2026-01-30 16:40:49.840701
260,3241,6867,23,2026-01-30 16:36:25.076735
261,9314,4662,16,2026-01-30 16:46:13.373982
262,2301,2679,34,2026-01-30 16:38:42.183221
263,19607,4915,25,2026-01-30 16:36:22.353941
264,3926,6605,35,2026-01-30 16:37:41.820579
265,14636,21,43,2026-01-30 16:38:51.962844
266,9540,832,42,2026-01-30 16:35:24.896241
267,18788,7111,44,2026-01-30 16:36:19.833361
268,17805,144,30,2026-01-30 16:44:50.454854
269,14632,7544,38,2026-01-30 16:41:17.828659
270,15438,2349,23,2026-01-30 16:41:04.429605
271,7799,4097,31,2026-01-30 16:40:34.922902
272,3207,3393,20,2026-01-30 16:38:07.826861
273,307,2635,30,2026-01-30 16:39:45.636127
274,3585,5585,4,2026-01-30 16:39:16.332692
275,16828,3602,14,2026-01-30 16:35:45.490977
276,16307,3976,3,2026-01-30 16:40:55.042207
277,16426,3530,10,2026-01-30 16:37:13.755011
278,8921,6716,37,2026-01-30 16:35:31.734618
279,799,5962,23,2026-01-30 16:43:17.556728
280,7509,3867,23,2026-01-30 16:41:21.271124
281,9173,6841,17,2026-01-30 16:38:21.179451
282,1308,364,37,2026-01-30 16:37:50.377765
283,7177,4391,11,2026-01-30 16:43:47.730357
284,17886,1343,14,2026-01-30 16:41:27.535865
285,13814,2326,14,2026-01-30 16:37:34.559092
286,7159,4285,37,2026-01-30 16:36:28.167972
287,8849,6453,32,2026-01-30 16:43:20.285155
288,12351,3959,18,2026-01-30 16:44:33.925445
289,4199,6831,19,2026-01-30 16:41:13.196681
290,6855,4778,41,2026-01-30 16:35:04.866602
291,13325,4816,14,2026-01-30 16:40:15.511941
292,10658,3167,19,2026-01-30 16:37:40.501255
293,1829,732,5,2026-01-30 16:44:39.281327
294,19241,6197,32,2026-01-30 16:41:13.824333
295,19803,4363,18,2026-01-30 16:35:35.296566
296,10510,6848,34,2026-01-30 16:39:46.620536
297,4312,682,17,2026-01-30 16:40:39.726842
298,18827,4488,33,2026-01-30 16:38:45.150470
299,19180,3314,27,2026-01-30 16:38:40.529006
300,14063,666,30,2026-01-30 16:36:31.822204
301,15118,348,47,2026-01-30 16:43:32.454687
302,14782,3860,30,2026-01-30 16:37:01.209620
303,7296,6338,15,2026-01-30 16:35:58.396389
304,153,5695,6,2026-01-30 16:38:12.889753
305,14090,2521,46,2026-01-30 16:45:04.177962
306,19606,2025,43,2026-01-30 16:39:07.243217
307,4942,4871,20,2026-01-30 16:41:24.160372
308,2172,2332,18,2026-01-30 16:43:16.294317
309,3090,7457,49,2026-01-30 16:35:53.781074
310,5161,1014,13,2026-01-30 16:36:34.580568
311,2004,4593,33,2026-01-30 16:40:16.653075
312,660,4674,28,2026-01-30 16:42:34.353584
313,8944,1324,45,2026-01-30 16:45:29.488131
314,3467,4986,2,2026-01-30 16:35:48.872978
315,6228,1994,28,2026-01-30 16:42:09.748984
316,11874,7925,32,2026-01-30 16:39:08.908536
317,13923,4018,17,2026-01-30 16:36:56.722650
318,17467,5246,45,2026-01-30 16:40:58.089983
319,7563,56,25,2026-01-30 16:45:49.201221
320,5922,2043,12,2026-01-30 16:35:17.843364
321,13650,1011,46,2026-01-30 16:43:40.813962
322,14197,6764,32,2026-01-30 16:37:29.557484
323,1249,3774,35,2026-01-30 16:44:54.164025
324,18133,2200,30,2026-01-30 16:41:56.464607
325,10536,33,10,2026-01-30 16:43:04.242510
326,8539,2781,22,2026-01-30 16:36:19.125005
327,906,309,46,2026-01-30 16:34:58.497217
328,8806,2236,10,2026-01-30 16:46:05.545907
329,16704,6924,24,2026-01-30 16:42:00.748964
330,4304,6415,7,2026-01-30 16:46:18.848677
331,11290,708,15,2026-01-30 16:36:08.431724
332,8822,2435,15,2026-01-30 16:45:07.647385
333,19565,452,21,2026-01-30 16:35:52.776339
334,1772,273,46,2026-01-30 16:44:16.074750
335,19079,7088,33,2026-01-30 16:37:10.386961
336,3653,3190,46,2026-01-30 16:35:17.085101
337,12774,4470,21,2026-01-30 16:42:42.827321
338,13288,6568,3,2026-01-30 16:37:41.250757
339,16046,6628,32,2026-01-30 16:45:57.324593
340,18751,6731,11,2026-01-30 16:46:26.218503
341,6406,1707,4,2026-01-30 16:37:13.496871
342,11019,4533,32,2026-01-30 16:43:09.996122
343,10104,3295,47,2026-01-30 16:43:38.043668
344,10037,2061,41,2026-01-30 16:36:23.588721
345,7347,7055,25,2026-01-30 16:38:39.478745
346,6469,4257,31,2026-01-30 16:45:04.508904
347,17044,5544,13,2026-01-30 16:42:05.455481
348,9887,6205,44,2026-01-30 16:40:40.306519
349,10857,3367,9,2026-01-30 16:36:18.209178
350,3163,1053,9,2026-01-30 16:40:07.308109
351,9771,3668,14,2026-01-30 16:36:53.570575
352,996,6859,48,2026-01-30 16:44:56.649035
353,17291,49,22,2026-01-30 16:41:40.680716
354,2179,4038,43,2026-01-30 16:42:21.660131
355,6158,793,12,2026-01-30 16:45:25.722488
356,4997,3691,19,2026-01-30 16:42:42.634189
357,780,6500,34,2026-01-30 16:35:38.577857
358,10038,4971,13,2026-01-30 16:34:35.025314
359,13305,3684,1,2026-01-30 16:37:06.755225
360,19705,992,35,2026-01-30 16:43:04.958745
361,10359,2317,13,2026-01-30 16:46:30.701478
362,1147,7612,18,2026-01-30 16:46:33.217700
363,9511,7893,11,2026-01-30 16:37:34.864920
364,5735,3718,1,2026-01-30 16:34:55.034327
365,16030,7405,6,2026-01-30 16:40:17.520678
366,6313,833,19,2026-01-30 16:46:29.201467
367,12917,7593,43,2026-01-30 16:38:38.402182
368,18928,2367,22,2026-01-30 16:36:49.794422
369,16284,7134,49,2026-01-30 16:39:01.771641
370,6857,1471,12,2026-01-30 16:45:46.718216
371,4419,2473,46,2026-01-30 16:43:02.239192
372,19752,5250,35,2026-01-30 16:42:57.167735
373,13146,2951,14,2026-01-30 16:35:29.447519
374,10223,4781,23,2026-01-30 16:40:27.629374
375,5073,840,33,2026-01-30 16:35:19.925729
376,9170,7375,45,2026-01-30 16:39:25.923858
377,1848,11,27,2026-01-30 16:38:31.730892
378,10069,1005,31,2026-01-30 16:36:05.602233
379,15636,2423,39,2026-01-30 16:46:14.568659
380,12197,7350,8,2026-01-30 16:46:04.570065
381,2271,4152,32,2026-01-30 16:46:37.232475
382,18155,4555,20,2026-01-30 16:43:33.411582
383,15745,6528,40,2026-01-30 16:43:29.169861
384,11679,7222,34,2026-01-30 16:39:40.535876
385,3949,1426,12,2026-01-30 16:44:37.568667
386,2135,4121,11,2026-01-30 16:40:44.308676
387,3227,6283,1,2026-01-30 16:37:30.321519
388,14155,7731,18,2026-01-30 16:38:02.814908
389,6203,7497,29,2026-01-30 16:43:33.807551
390,17162,6131,6,2026-01-30 16:44:41.325301
391,6954,6839,19,2026-01-30 16:45:08.586189
392,8045,6752,8,2026-01-30 16:34:37.953383
393,11267,7020,12,2026-01-30 16:39:15.339182
394,15670,6256,31,2026-01-30 16:46:38.775577
395,4828,5887,7,2026-01-30 16:37:11.936490
396,992,3923,9,2026-01-30 16:39:44.131359
397,13471,718,18,2026-01-30 16:34:56.000763
398,19700,5757,32,2026-01-30 16:45:55.138812
399,3151,6157,3,2026-01-30 16:36:17.302782
400,6213,1099,37,2026-01-30 16:46:31.597519
401,19639,51,22,2026-01-30 16:35:19.254600
402,16575,1233,8,2026-01-30 16:43:39.698255
403,10729,73,41,2026-01-30 16:45:49.844686
404,213,4663,32,2026-01-30 16:35:17.475510
405,15070,2115,36,2026-01-30 16:45:26.575655
406,9931,5147,45,2026-01-30 16:45:23.063269
407,2155,7846,8,2026-01-30 16:36:36.977362
408,5761,6,19,2026-01-30 16:45:10.501281
409,18393,1743,5,2026-01-30 16:37:25.428011
410,600,3962,32,2026-01-30 16:38:14.863252
411,19541,7127,11,2026-01-30 16:38:24.813075
412,18745,6683,23,2026-01-30 16:37:25.704587
413,8494,1592,17,2026-01-30 16:44:53.601295
414,13017,7025,45,2026-01-30 16:45:41.554746
415,7840,6591,7,2026-01-30 16:44:38.942529
416,16627,1966,23,2026-01-30 16:44:56.006840
417,6386,2309,26,2026-01-30 16:42:29.238121
418,4313,5805,44,2026-01-30 16:36:50.148705
419,15091,1465,20,2026-01-30 16:39:49.162536
420,11292,2388,44,2026-01-30 16:44:33.729705
421,324,2620,42,2026-01-30 16:40:10.151303
422,9791,3748,9,2026-01-30 16:38:28.683524
423,14920,7187,45,2026-01-30 16:36:26.424492
424,1566,1670,27,2026-01-30 16:43:20.212124
425,16751,5814,11,2026-01-30 16:44:26.698144
426,6800,5618,18,2026-01-30 16:36:22.435127
427,8280,2453,49,2026-01-30 16:43:18.571024
428,8432,4955,24,2026-01-30 16:44:59.660877
429,15764,7300,8,2026-01-30 16:41:09.972643
430,3366,2644,3,2026-01-30 16:42:29.398149
431,18863,5093,2,2026-01-30 16:40:22.648765
432,14103,5556,43,2026-01-30 16:46:31.846973
433,18423,5217,48,2026-01-30 16:43:47.592557
434,14946,6350,24,2026-01-30 16:37:00.025158
435,6434,5216,17,2026-01-30 16:39:06.925880
436,65,874,35,2026-01-30 16:37:25.798145
437,5212,5090,47,2026-01-30 16:41:25.413120
438,12701,5924,29,2026-01-30 16:46:33.554542
439,11668,4695,40,2026-01-30 16:37:03.945423
440,18243,969,28,2026-01-30 16:43:46.516728
441,14988,7039,28,2026-01-30 16:35:01.962308
442,7158,5924,46,2026-01-30 16:45:38.946000
443,2358,3973,45,2026-01-30 16:40:40.301183
444,732,6218,12,2026-01-30 16:39:51.268347
445,12423,3905,1,2026-01-30 16:45:05.265856
446,18259,529,23,2026-01-30 16:37:47.431286
447,19315,524,43,2026-01-30 16:40:21.747741
448,6846,1575,49,2026-01-30 16:41:49.210575
449,17051,3416,15,2026-01-30 16:39:30.585797
450,783,5682,37,2026-01-30 16:42:53.429983
451,18443,4585,43,2026-01-30 16:45:40.198505
452,19860,7696,13,2026-01-30 16:45:50.124680
453,13992,1591,39,2026-01-30 16:46:28.448988
454,3840,2984,19,2026-01-30 16:35:55.311348
455,15189,6273,19,2026-01-30 16:45:35.946027
456,16765,5873,6,2026-01-30 16:45:14.171101
457,538,904,7,2026-01-30 16:39:19.039291
458,18492,4118,27,2026-01-30 16:41:23.802471
459,5017,5769,16,2026-01-30 16:44:14.810647
460,13913,707,13,2026-01-30 16:44:01.063127
461,6191,6050,24,2026-01-30 16:35:02.922210
462,10861,2679,4,2026-01-30 16:46:41.425835
463,17130,5752,28,2026-01-30 16:39:46.443161
464,6790,6808,49,2026-01-30 16:45:01.731131
465,19722,4363,36,2026-01-30 16:35:32.981055
466,16272,6789,30,2026-01-30 16:45:13.418401
467,3850,7,24,2026-01-30 16:39:23.570690
468,1282,7419,36,2026-01-30 16:43:49.250437
469,12244,7504,10,2026-01-30 16:40:17.237825
470,553,2198,40,2026-01-30 16:37:10.095864
471,1641,5205,24,2026-01-30 16:45:46.663382
472,5789,165,37,2026-01-30 16:40:43.590539
473,9867,3754,22,2026-01-30 16:41:00.948331
474,7610,3824,29,2026-01-30 16:36:11.586235
475,18955,7523,24,2026-01-30 16:42:11.112337
476,17434,7342,35,2026-01-30 16:41:02.416948
477,16959,7062,27,2026-01-30 16:44:03.488944
478,10557,5247,7,2026-01-30 16:37:02.147375
479,3727,2525,44,2026-01-30 16:34:51.414446
480,14847,4589,5,2026-01-30 16:44:07.894415
481,11039,5500,26,2026-01-30 16:40:11.421405
482,18941,658,28,2026-01-30 16:36:22.004392
483,11257,1596,7,2026-01-30 16:37:28.887543
484,17259,3850,46,2026-01-30 16:35:09.436881
485,6913,7092,34,2026-01-30 16:40:14.024192
486,12127,3565,26,2026-01-30 16:42:09.655128
487,8065,3873,34,2026-01-30 16:37:43.836974
488,3151,5314,24,2026-01-30 16:36:14.302782
489,2008,2800,49,2026-01-30 16:35:58.884456
490,13763,3858,37,2026-01-30 16:41:20.003417
491,10780,4381,48,2026-01-30 16:36:59.624215
492,5852,733,6,2026-01-30 16:38:19.762838
493,1531,6432,34,2026-01-30 16:40:33.523099
494,10803,4593,27,2026-01-30 16:40:08.187192
495,5114,5542,40,2026-01-30 16:36:42.299655
496,11954,2693,22,2026-01-30 16:42:07.004370
497,559,589,31,2026-01-30 16:45:05.376033
498,6666,301,27,2026-01-30 16:46:18.112959
499,6332,4928,4,2026-01-30 16:36:44.321985
500,15167,2575,46,2026-01-30 16:37:01.533925
501,6691,5623,17,2026-01-30 16:37:20.260705
502,16136,5291,16,2026-01-30 16:38:29.295200
503,16390,2836,22,2026-01-30 16:35:28.562039
504,9977,3072,7,2026-01-30 16:45:59.578552
505,16084,4134,12,2026-01-30 16:43:12.859832
506,3547,2808,21,2026-01-30 16:35:58.899021
507,8914,1587,26,2026-01-30 16:41:06.887689
508,3952,4488,10,2026-01-30 16:35:52.558065
509,2283,2972,16,2026-01-30 16:36:51.848970
510,2786,4674,32,2026-01-30 16:37:53.778019
511,1228,4101,22,2026-01-30 16:35:22.564262
512,7813,6172,42,2026-01-30 16:44:20.046545
513,814,6289,9,2026-01-30 16:35:57.946943
514,16190,3967,12,2026-01-30 16:37:47.045263
515,87,3164,45,2026-01-30 16:45:12.994728
516,15706,6449,29,2026-01-30 16:41:14.025780
517,18767,4653,13,2026-01-30 16:41:23.516494
518,15050,5410,25,2026-01-30 16:45:56.844032
519,2146,3031,14,2026-01-30 16:45:14.554255
520,4586,7948,11,2026-01-30 16:43:05.125924
521,10221,6559,21,2026-01-30 16:43:12.058089
522,1543,3356,14,2026-01-30 16:44:41.671178
523,13874,212,6,2026-01-30 16:35:25.945772
524,19218,7991,7,2026-01-30 16:45:16.434411
525,9669,4724,30,2026-01-30 16:37:17.825109
526,4535,1011,7,2026-01-30 16:38:42.541192
527,9917,7626,34,2026-01-30 16:38:50.885296
528,375,1388,42,2026-01-30 16:42:47.233691
529,18161,1851,35,2026-01-30 16:36:49.714666
530,902,2972,46,2026-01-30 16:39:48.807904
531,15435,3943,9,2026-01-30 16:42:56.576493
532,13437,4609,41,2026-01-30 16:38:29.847886
533,4519,3168,31,2026-01-30 16:39:28.259168
534,233,7407,21,2026-01-30 16:44:35.732423
535,1206,2572,9,2026-01-30 16:37:14.897128
536,7442,4812,2,2026-01-30 16:43:45.042836
537,8393,6364,27,2026-01-30 16:37:24.878026
538,13285,6144,8,2026-01-30 16:46:14.629814
539,6035,1633,13,2026-01-30 16:45:36.016884
540,10412,6291,38,2026-01-30 16:40:11.136961
541,17450,3961,38,2026-01-30 16:43:11.688346
