impression_id,search_id,item_id,position,timestamp
105,10287,485,6,2026-01-30 16:44:30.627818
106,7829,1969,20,2026-01-30 16:46:30.835528
107,16802,4126,8,2026-01-30 16:38:10.141940
108,11167,5182,9,2026-01-30 16:34:41.950989
109,8988,5568,7,2026-01-30 16:42:51.953931
110,5453,6640,4,2026-01-30 16:38:36.514580
111,9921,5272,39,2026-01-30 16:40:54.840746
112,4203,2010,30,2026-01-30 16:38:01.774301
113,9191,2026,30,2026-01-30 16:40:14.110146
114,4381,549,2,2026-01-30 16:35:46.421438
115,14000,4426,40,2026-01-30 16:42:07.710641
116,9511,4943,7,2026-01-30 16:37:28.864920
117,13328,6162,3,2026-01-30 16:36:12.516309
118,11564,6084,16,2026-01-30 16:38:57.232002
119,15610,2536,31,2026-01-30 16:38:00.308819
120,17419,990,42,2026-01-30 16:44:42.736710
121,16834,4023,31,2026-01-30 16:38:24.711687
122,14525,381,47,2026-01-30 16:37:04.356293
123,15586,1869,25,2026-01-30 16:42:30.865927
124,1221,496,12,2026-01-30 16:42:35.528810
125,8652,6294,20,2026-01-30 16:38:20.678537
126,8920,4991,16,2026-01-30 16:44:56.225223
127,19824,2584,30,2026-01-30 16:37:36.509313
128,5286,5494,16,2026-01-30 16:38:28.219651
129,770,4588,36,2026-01-30 16:45:20.033104
130,4732,5137,43,2026-01-30 16:45:05.648288
131,10335,2284,23,2026-01-30 16:37:10.499846
132,1923,3170,28,2026-01-30 16:45:31.172605
133,13389,7491,2,2026-01-30 16:42:24.342212
134,4174,4253,36,2026-01-30 16:35:43.377282
135,10306,1929,19,2026-01-30 16:44:15.965906
136,4392,6628,6,2026-01-30 16:35:19.241338
137,6761,4992,10,2026-01-30 16:44:40.063748
138,7235,6090,27,2026-01-30 16:43:51.444642
139,16873,7512,29,2026-01-30 16:43:06.705396
140,16453,1577,33,2026-01-30 16:44:29.385072
141,11675,5200,27,2026-01-30 16:46:04.732862
142,17829,5955,43,2026-01-30 16:39:20.877383
143,1570,207,14,2026-01-30 16:40:46.463485
144,13912,395,48,2026-01-30 16:43:09.601630
145,19838,4672,35,2026-01-30 16:39:58.994158
146,19395,5913,17,2026-01-30 16:38:32.854597
147,14333,983,37,2026-01-30 16:43:28.955171
148,17320,408,6,2026-01-30 16:37:24.043647
149,14296,160,25,2026-01-30 16:45:57.179977
150,5536,7173,27,2026-01-30 16:38:48.732753
151,10199,2360,2,2026-01-30 16:35:00.653666
152,4087,6808,23,2026-01-30 16:41:03.385787
153,7454,190,13,2026-01-30 16:40:15.263645
154,1140,1657,14,2026-01-30 16:45:51.892360
155,156,2483,18,2026-01-30 16:41:54.263937
156,18413,7282,32,2026-01-30 16:35:53.798442
157,19809,7301,32,2026-01-30 16:39:47.367730
158,4714,7960,9,2026-01-30 16:46:01.791380
159,12097,6632,20,2026-01-30 16:42:56.258595
160,1054,3784,46,2026-01-30 16:43:35.115547
161,6966,2520,18,2026-01-30 16:36:13.447350
162,18972,833,39,2026-01-30 16:35:28.883292
163,7814,6816,24,2026-01-30 16:40:04.697387
164,15289,3480,46,2026-01-30 16:38:36.681033
165,8421,4331,46,2026-01-30 16:41:37.497813
166,2640,6229,20,2026-01-30 16:36:18.424053
167,1748,781,36,2026-01-30 16:43:36.587828
168,12122,7513,4,2026-01-30 16:43:22.147216
169,15690,2385,20,2026-01-30 16:43:10.129695
170,15080,1671,27,2026-01-30 16:43:38.698280
171,17045,6337,26,2026-01-30 16:41:04.996194
172,17110,525,29,2026-01-30 16:36:57.566278
173,16571,4107,16,2026-01-30 16:42:28.949953
174,13311,1803,19,2026-01-30 16:38:49.477739
175,1350,2302,35,2026-01-30 16:37:47.269278
176,1375,6202,14,2026-01-30 16:35:16.397133
177,12057,6043,16,2026-01-30 16:41:48.193918
178,18161,7024,35,2026-01-30 16:36:16.714666
179,6043,2460,5,2026-01-30 16:43:12.201025
180,12381,7311,12,2026-01-30 16:35:16.563471
181,19987,3963,27,2026-01-30 16:40:00.693209
182,1504,2529,21,2026-01-30 16:35:42.984174
183,2865,4189,17,2026-01-30 16:45:06.960605
184,7989,3203,42,2026-01-30 16:42:14.592096
185,6968,5241,29,2026-01-30 16:41:06.842993
186,7671,2542,29,2026-01-30 16:39:51.274735
187,5625,2528,10,2026-01-30 16:42:58.676801
188,5889,1849,25,2026-01-30 16:44:15.642865
189,9047,5275,11,2026-01-30 16:43:44.349784
190,13821,2249,33,2026-01-30 16:34:26.758814
191,10414,5038,38,2026-01-30 16:39:21.376370
192,9036,5656,2,2026-01-30 16:37:58.847783
193,5943,4744,41,2026-01-30 16:41:47.667600
194,11946,5366,18,2026-01-30 16:42:38.832208
195,16142,5814,23,2026-01-30 16:34:37.108088
196,3231,4591,28,2026-01-30 16:40:48.832086
197,19949,4749,25,2026-01-30 16:38:05.255525
198,6508,3394,36,2026-01-30 16:45:31.066618
199,19199,838,31,2026-01-30 16:37:37.763718
200,6194,3638,21,2026-01-30 16:46:06.394127
201,7282,2173,19,2026-01-30 16:37:39.399513
202,516,2534,32,2026-01-30 16:40:06.492355
203,5020,5044,35,2026-01-30 16:40:16.259556
204,11009,3786,16,2026-01-30 16:34:27.718780
205,16713,403,25,2026-01-30 16:40:28.246264
206,18505,21,29,2026-01-30 16:35:55.676344
207,12860,5505,23,2026-01-30 16:41:25.619155
208,2236,4766,7,2026-01-30 16:37:49.865085
209,13797,5466,35,2026-01-30 16:35:16.341889
210,1362,2103,11,2026-01-30 16:45:48.822183
211,5772,6519,19,2026-01-30 16:42:59.829170
212,17265,144,8,2026-01-30 16:34:50.558105
213,5601,957,37,2026-01-30 16:39:41.789182
214,8494,1592,17,2026-01-30 16:44:36.601295
215,3241,4750,23,2026-01-30 16:35:57.076735
216,11995,2740,33,2026-01-30 16:44:05.932757
217,3642,4139,40,2026-01-30 16:40:36.302085
218,19015,79,45,2026-01-30 16:41:31.151705
219,9853,4542,28,2026-01-30 16:45:27.477610
220,5952,522,19,2026-01-30 16:45:04.178075
221,1250,2460,7,2026-01-30 16:44:59.423749
222,6807,184,28,2026-01-30 16:45:05.142837
223,19645,4572,48,2026-01-30 16:36:50.440745
224,3722,3363,35,2026-01-30 16:45:24.468262
225,10306,7199,20,2026-01-30 16:44:23.965906
226,4940,2613,37,2026-01-30 16:35:46.807472
227,8278,2303,45,2026-01-30 16:43:30.381792
228,11911,4280,7,2026-01-30 16:37:45.867638
229,6694,1641,27,2026-01-30 16:35:14.094042
230,5541,6244,39,2026-01-30 16:44:15.150072
231,5864,6037,9,2026-01-30 16:42:57.898246
232,17526,6149,33,2026-01-30 16:36:11.594237
233,9994,4551,10,2026-01-30 16:39:52.310544
234,8555,4994,47,2026-01-30 16:40:29.891223
235,2763,1619,38,2026-01-30 16:34:45.257013
236,18310,4883,12,2026-01-30 16:39:13.938333
237,8260,5715,17,2026-01-30 16:36:07.037210
238,14751,7231,1,2026-01-30 16:38:10.960898
239,9267,6562,7,2026-01-30 16:37:53.316349
240,9301,1435,5,2026-01-30 16:46:16.211893
241,14212,2743,46,2026-01-30 16:45:15.575776
242,16293,7263,24,2026-01-30 16:42:37.104311
243,6421,6809,1,2026-01-30 16:43:02.346653
244,12323,2643,37,2026-01-30 16:43:07.287783
245,13880,1578,17,2026-01-30 16:35:58.524686
246,19937,3207,45,2026-01-30 16:38:18.676656
247,16121,7963,8,2026-01-30 16:41:48.861035
248,12747,6733,21,2026-01-30 16:42:44.941237
249,14449,5064,34,2026-01-30 16:39:46.086504
250,16077,1568,7,2026-01-30 16:43:21.395579
251,7448,7082,24,2026-01-30 16:38:03.595542
252,19314,6974,25,2026-01-30 16:36:29.204749
253,11043,790,47,2026-01-30 16:36:05.269338
254,5306,4175,20,2026-01-30 16:39:09.846948
255,14759,7982,45,2026-01-30 16:43:42.014533
256,10862,4586,11,2026-01-30 16:45:05.097506
257,12157,6475,41,2026-01-30 16:45:32.713240
258,9205,1999,13,2026-01-30 16:45:56.210853
259,8657,5179,35,2026-01-30 16:39:30.214540
260,6156,2024,47,2026-01-30 16:38:09.184313
261,10296,2532,24,2026-01-30 16:43:49.926902
262,9432,7559,27,2026-01-30 16:39:11.006805
263,6098,3298,11,2026-01-30 16:34:27.920203
264,2771,2206,1,2026-01-30 16:43:17.927420
265,2201,2308,12,2026-01-30 16:34:36.998467
266,17161,5191,31,2026-01-30 16:41:25.444974
267,11619,2924,48,2026-01-30 16:41:45.521645
268,16794,712,23,2026-01-30 16:36:36.145282
269,7803,4236,3,2026-01-30 16:36:21.959615
270,17976,5556,42,2026-01-30 16:39:47.464243
271,4610,2832,36,2026-01-30 16:39:28.665624
272,1833,166,32,2026-01-30 16:44:46.162387
273,18452,3720,36,2026-01-30 16:35:10.339391
274,14619,7860,47,2026-01-30 16:35:25.633542
275,9151,1269,17,2026-01-30 16:39:37.238027
276,15755,3625,26,2026-01-30 16:46:36.433997
277,3545,6211,44,2026-01-30 16:35:04.600089
278,10428,1053,27,2026-01-30 16:43:19.195135
279,12586,5188,19,2026-01-30 16:45:03.515137
280,13429,5869,31,2026-01-30 16:37:29.972008
281,6933,3687,41,2026-01-30 16:44:23.481225
282,19429,2433,2,2026-01-30 16:45:25.941272
283,18456,5859,33,2026-01-30 16:44:16.297429
284,512,2826,40,2026-01-30 16:37:33.010666
285,6326,668,1,2026-01-30 16:36:21.409855
286,715,2171,42,2026-01-30 16:35:08.989036
287,1574,4087,27,2026-01-30 16:45:59.230470
288,18800,6378,37,2026-01-30 16:34:43.616542
289,16492,6591,28,2026-01-30 16:43:43.392061
290,2893,3330,21,2026-01-30 16:44:12.962711
291,5607,3629,48,2026-01-30 16:42:31.797368
292,10010,7341,2,2026-01-30 16:41:24.521894
293,13558,983,35,2026-01-30 16:40:57.281380
294,16011,1423,44,2026-01-30 16:37:42.923048
295,14592,6502,7,2026-01-30 16:43:35.938891
296,13796,6658,3,2026-01-30 16:38:04.338473
297,3362,3884,27,2026-01-30 16:41:14.651315
298,3814,256,9,2026-01-30 16:36:11.521178
299,5968,7396,10,2026-01-30 16:42:28.815301
300,3991,5508,7,2026-01-30 16:42:49.813990
301,17600,4750,8,2026-01-30 16:44:09.471230
302,8428,2633,6,2026-01-30 16:46:12.546070
303,10545,1613,2,2026-01-30 16:45:26.327157
304,18887,3203,24,2026-01-30 16:34:44.628828
305,12144,120,42,2026-01-30 16:45:20.181487
306,8541,6441,43,2026-01-30 16:38:43.952193
307,4469,2241,10,2026-01-30 16:43:02.365547
308,14831,586,15,2026-01-30 16:45:40.272974
309,7503,7188,10,2026-01-30 16:36:56.873427
310,15655,3897,11,2026-01-30 16:39:59.111222
311,17187,5966,47,2026-01-30 16:38:20.902210
312,10315,1874,18,2026-01-30 16:40:01.204556
313,8028,3057,25,2026-01-30 16:45:02.403517
314,5346,7954,47,2026-01-30 16:46:19.635822
315,5964,2953,45,2026-01-30 16:35:17.379139
316,3555,6503,1,2026-01-30 16:46:01.007432
317,12250,397,10,2026-01-30 16:41:47.967477
318,11481,5676,25,2026-01-30 16:34:53.282520
319,6870,825,47,2026-01-30 16:41:22.209276
320,1486,4467,7,2026-01-30 16:41:14.941591
321,3277,2997,48,2026-01-30 16:43:12.134812
322,13204,872,30,2026-01-30 16:39:32.446112
323,5432,7280,35,2026-01-30 16:34:44.236659
324,3321,7410,12,2026-01-30 16:41:28.185786
325,16775,2392,17,2026-01-30 16:45:16.117099
326,15876,7538,45,2026-01-30 16:37:12.825078
327,9311,4433,31,2026-01-30 16:38:02.285197
328,15959,1134,47,2026-01-30 16:35:28.177503
329,15417,4703,47,2026-01-30 16:40:21.546540
330,19678,7808,27,2026-01-30 16:35:05.255082
331,15048,6592,5,2026-01-30 16:39:50.258355
332,13298,6734,41,2026-01-30 16:42:09.476977
333,14443,120,44,2026-01-30 16:45:05.929924
334,16584,1531,23,2026-01-30 16:38:59.939425
335,11043,4497,8,2026-01-30 16:35:56.269338
336,8568,1637,4,2026-01-30 16:44:28.970748
337,6531,7045,15,2026-01-30 16:38:13.516777
338,13274,3167,15,2026-01-30 16:42:36.453378
339,11072,6261,18,2026-01-30 16:43:18.978587
340,6607,6842,41,2026-01-30 16:36:19.060201
341,8186,6211,19,2026-01-30 16:45:00.855009
342,17130,5752,28,2026-01-30 16:39:32.443161
343,6806,6338,25,2026-01-30 16:35:52.884459
344,10634,7447,4,2026-01-30 16:37:21.042471
345,13820,1500,2,2026-01-30 16:43:58.711631
346,5701,3425,23,2026-01-30 16:36:02.430654
347,15325,7391,45,2026-01-30 16:45:38.112522
348,4572,3186,48,2026-01-30 16:45:09.511652
349,6723,7768,14,2026-01-30 16:39:10.081674
350,3043,6850,44,2026-01-30 16:39:12.049870
351,14320,531,27,2026-01-30 16:41:18.159310
352,9607,190,27,2026-01-30 16:44:27.903173
353,7991,4355,15,2026-01-30 16:36:05.662269
354,17113,465,41,2026-01-30 16:46:23.807550
355,2477,4060,31,2026-01-30 16:38:51.085341
356,5379,3076,24,2026-01-30 16:45:18.674274
357,12891,779,43,2026-01-30 16:36:40.481411
358,16190,6702,44,2026-01-30 16:37:39.045263
359,11571,4974,37,2026-01-30 16:36:50.626173
360,8310,4183,40,2026-01-30 16:37:02.511116
361,11221,3154,43,2026-01-30 16:44:21.959516
362,18155,6441,7,2026-01-30 16:43:15.411582
363,14857,3637,29,2026-01-30 16:45:59.337402
364,1018,5957,13,2026-01-30 16:39:20.400619
365,2108,1789,9,2026-01-30 16:41:31.736108
366,14928,3278,33,2026-01-30 16:39:36.369047
367,16918,6908,24,2026-01-30 16:36:03.335862
368,12220,1525,14,2026-01-30 16:39:10.188900
369,13258,6484,37,2026-01-30 16:43:03.496773
370,17845,2155,22,2026-01-30 16:45:45.381863
371,19408,3805,35,2026-01-30 16:42:40.160003
372,9206,3939,45,2026-01-30 16:38:57.723313
373,9794,4508,36,2026-01-30 16:37:39.929087
374,1405,2055,1,2026-01-30 16:40:27.261045
375,13703,3327,2,2026-01-30 16:36:30.711889
376,4698,2299,30,2026-01-30 16:41:26.131583
377,11897,7195,26,2026-01-30 16:34:35.025707
378,4755,889,18,2026-01-30 16:41:03.504341
379,19347,1990,39,2026-01-30 16:35:58.659394
380,15897,7788,17,2026-01-30 16:42:11.134891
381,526,2129,30,2026-01-30 16:37:32.653810
382,9869,4350,37,2026-01-30 16:42:46.338279
383,1462,4076,41,2026-01-30 16:41:37.779758
384,13999,5027,17,2026-01-30 16:40:39.039802
385,1751,6490,12,2026-01-30 16:40:45.527561
386,10642,7449,2,2026-01-30 16:43:52.822420
387,12429,2006,5,2026-01-30 16:39:34.234655
388,2959,5629,34,2026-01-30 16:40:34.072757
389,13529,2568,35,2026-01-30 16:39:55.995543
390,4024,5413,41,2026-01-30 16:43:17.911102
391,2162,5262,24,2026-01-30 16:44:47.827407
392,10770,1745,31,2026-01-30 16:45:28.306370
393,11106,4112,7,2026-01-30 16:37:34.615018
394,13866,4448,11,2026-01-30 16:43:41.480763
395,13608,4055,13,2026-01-30 16:42:36.140095
396,4590,5540,22,2026-01-30 16:41:34.018252
397,1189,6307,47,2026-01-30 16:39:34.902867
398,13409,5626,6,2026-01-30 16:35:37.378188
399,7816,6865,8,2026-01-30 16:38:57.573210
400,16946,1177,3,2026-01-30 16:40:52.827554
401,4564,2669,23,2026-01-30 16:45:14.854419
402,12213,6702,1,2026-01-30 16:44:37.658232
403,7647,211,45,2026-01-30 16:41:59.510693
404,3179,1305,18,2026-01-30 16:44:58.961713
405,11573,305,39,2026-01-30 16:34:47.332255
406,13804,3005,47,2026-01-30 16:46:21.993482
407,6127,5088,13,2026-01-30 16:45:59.537189
408,16157,5760,1,2026-01-30 16:41:07.306762
409,3989,6904,44,2026-01-30 16:34:41.987859
410,8692,7057,3,2026-01-30 16:46:20.836098
411,19332,7057,8,2026-01-30 16:40:25.521833
412,6574,7274,9,2026-01-30 16:44:18.320626
413,3742,1208,14,2026-01-30 16:42:51.959096
414,15081,2847,9,2026-01-30 16:40:45.727843
415,17451,1262,1,2026-01-30 16:40:12.981317
416,2561,3904,30,2026-01-30 16:40:07.403934
417,4240,6635,21,2026-01-30 16:44:57.588128
418,2424,1275,19,2026-01-30 16:39:25.873144
419,17980,1123,12,2026-01-30 16:36:32.939543
420,4254,7270,8,2026-01-30 16:38:36.789768
421,18474,112,21,2026-01-30 16:37:01.241400
422,6361,1614,49,2026-01-30 16:44:55.920627
423,6332,1606,2,2026-01-30 16:36:46.321985
424,17428,4421,3,2026-01-30 16:35:17.704141
425,15018,2887,36,2026-01-30 16:43:03.478148
426,3512,1734,3,2026-01-30 16:44:01.010670
427,11642,6337,24,2026-01-30 16:38:03.514846
428,5384,791,2,2026-01-30 16:38:57.444160
429,12448,240,28,2026-01-30 16:43:04.175556
430,13021,6602,38,2026-01-30 16:42:47.395533
431,18745,16,2,2026-01-30 16:36:49.704587
432,19321,1866,34,2026-01-30 16:39:01.075023
433,9885,1586,42,2026-01-30 16:43:42.818825
434,15905,5960,9,2026-01-30 16:45:10.602903
435,17833,4702,11,2026-01-30 16:45:58.356263
436,8367,5356,25,2026-01-30 16:44:49.883002
437,14573,2597,27,2026-01-30 16:42:36.355125
438,10045,1451,15,2026-01-30 16:40:14.694568
439,6636,3363,2,2026-01-30 16:39:02.360466
440,7167,3220,44,2026-01-30 16:44:41.132800
441,6277,1977,25,2026-01-30 16:34:28.046993
442,17692,2760,17,2026-01-30 16:35:30.960451
443,3573,6686,26,2026-01-30 16:43:31.864829
444,16009,7758,9,2026-01-30 16:44:36.834158
445,2135,6626,46,2026-01-30 16:40:51.308676
446,4193,4814,2,2026-01-30 16:45:14.245714
447,12608,1734,7,2026-01-30 16:42:25.231957
448,9390,5937,38,2026-01-30 16:39:22.204783
449,7002,5036,48,2026-01-30 16:39:08.480649
450,2307,5644,20,2026-01-30 16:42:29.163163
451,5920,7871,43,2026-01-30 16:36:58.499440
452,15828,2435,28,2026-01-30 16:37:39.076349
453,3011,1288,7,2026-01-30 16:43:18.950441
454,11211,7266,4,2026-01-30 16:39:00.727924
455,1754,976,25,2026-01-30 16:43:04.222934
456,1688,6980,19,2026-01-30 16:37:59.511548
457,9633,6064,42,2026-01-30 16:37:24.492117
458,10511,888,29,2026-01-30 16:43:35.460954
459,15688,6393,27,2026-01-30 16:41:08.360253
460,12251,644,35,2026-01-30 16:36:56.704358
461,19550,7420,14,2026-01-30 16:39:09.898938
462,12591,851,40,2026-01-30 16:37:18.652216
463,8063,209,33,2026-01-30 16:36:34.732616
464,4653,1420,48,2026-01-30 16:40:07.093132
465,6184,5567,39,2026-01-30 16:34:37.702193
466,11436,352,9,2026-01-30 16:36:40.078026
467,201,5990,40,2026-01-30 16:39:46.941736
468,942,6860,44,2026-01-30 16:46:08.208939
469,11048,7282,2,2026-01-30 16:35:17.772868
470,6079,1582,31,2026-01-30 16:40:43.086027
471,1821,5571,36,2026-01-30 16:37:53.061359
472,655,4374,34,2026-01-30 16:35:57.813016
473,2695,5836,25,2026-01-30 16:44:34.891660
474,15122,5380,34,2026-01-30 16:43:03.136236
475,6544,5239,24,2026-01-30 16:36:41.113991
476,11281,4143,32,2026-01-30 16:35:43.284486
477,7081,1664,7,2026-01-30 16:45:49.352632
478,7615,7782,6,2026-01-30 16:38:09.197201
479,13230,3961,7,2026-01-30 16:42:00.779372
480,3086,4848,19,2026-01-30 16:42:57.235058
481,894,2437,13,2026-01-30 16:41:28.154405
482,13984,1020,11,2026-01-30 16:45:38.206452
483,19761,4314,34,2026-01-30 16:38:49.504295
484,13000,1740,46,2026-01-30 16:38:14.100264
485,9696,1780,47,2026-01-30 16:40:17.705580
486,14875,6761,29,2026-01-30 16:35:25.057883
487,12865,5505,19,2026-01-30 16:41:01.688039
488,10596,937,8,2026-01-30 16:39:56.045550
489,18131,1221,47,2026-01-30 16:40:06.526825
490,16556,1356,29,2026-01-30 16:37:35.824501
491,4517,3265,1,2026-01-30 16:45:29.065812
492,17117,1183,25,2026-01-30 16:43:30.206708
493,13992,1591,39,2026-01-30 16:46:13.448988
494,15135,6524,6,2026-01-30 16:36:33.784414
495,7460,999,31,2026-01-30 16:46:03.705295
496,1563,2916,44,2026-01-30 16:43:19.757097
497,16115,7873,43,2026-01-30 16:39:42.033442
498,19404,1310,2,2026-01-30 16:44:06.622814
499,3516,5708,32,2026-01-30 16:42:31.237597
500,15620,4462,10,2026-01-30 16:41:55.644027
501,1472,5100,49,2026-01-30 16:36:14.743028
502,5182,3571,22,2026-01-30 16:40:10.973202
503,7437,1215,19,2026-01-30 16:37:30.665855
504,1701,758,39,2026-01-30 16:40:40.950633
505,11599,6144,7,2026-01-30 16:43:17.680985
506,16887,5027,11,2026-01-30 16:37:53.453225
507,8598,2071,33,2026-01-30 16:42:20.072724
508,7388,2846,16,2026-01-30 16:42:13.114126
509,810,1664,27,2026-01-30 16:35:11.295954
510,8609,2959,39,2026-01-30 16:40:38.986533
511,15292,5081,36,2026-01-30 16:39:43.731573
512,13893,3444,7,2026-01-30 16:43:03.691588
513,6393,928,27,2026-01-30 16:41:25.799740
514,6632,4398,37,2026-01-30 16:34:49.972501
515,7261,5597,1,2026-01-30 16:41:31.351761
516,9159,2528,14,2026-01-30 16:35:09.731721
517,15775,7008,9,2026-01-30 16:42:43.370710
518,12148,7191,2,2026-01-30 16:41:57.649500
519,12553,4489,48,2026-01-30 16:43:30.450808
520,14506,4941,30,2026-01-30 16:41:23.816415
521,2966,5558,39,2026-01-30 16:40:04.911141
522,2561,2926,14,2026-01-30 16:40:07.403934
523,12289,4340,38,2026-01-30 16:37:34.903340
524,17987,4097,39,2026-01-30 16:37:13.939986
525,1114,4240,16,2026-01-30 16:44:10.377250
526,17475,6267,10,2026-01-30 16:38:44.561005
527,7207,6119,33,2026-01-30 16:37:29.304984
528,14262,7217,39,2026-01-30 16:41:19.515942
529,9372,6541,6,2026-01-30 16:35:44.374971
530,15909,7905,17,2026-01-30 16:45:42.085277
531,2395,1399,33,2026-01-30 16:35:46.707716
532,1938,501,11,2026-01-30 16:34:54.283147
533,5783,2059,45,2026-01-30 16:36:48.913958
534,2284,7251,1,2026-01-30 16:35:31.369967
535,16103,4965,28,2026-01-30 16:43:27.725063
536,17109,2205,18,2026-01-30 16:37:34.579279
537,14399,1354,23,2026-01-30 16:37:53.114631
538,7304,7909,16,2026-01-30 16:38:44.733161
539,15924,5623,28,2026-01-30 16:42:00.841875
540,412,1476,42,2026-01-30 16:39:44.904405
